"metabolite","AIC","Estimate","Std. Error","z value","Pr(>|z|)","qOrFDR"
"X168.0903_0.64","-402.763719481403","-6.86472293765478e-05","4.61925482609814e-05","-1.48611046501918","0.137249904678025",0.350566021587245
"X1047.735_7.63","-649.879877529777","0.000209373222085359","0.00024463791785146","0.855849428102502","0.392081070885427",0.593722764483647
"X189.1598_0.26","-796.83158855944","0.000803426955296417","0.000321998168910918","2.4951289568317","0.012591136157866",0.111173478433786
"X424.3418_6.43","-287.880193060221","-0.000349492877161901","0.000184043610945685","-1.89896772491083","0.0575687196842878",0.219902136451694
"X203.139_0.74","-165.422875364277","-0.000730290611461474","0.000487418719657421","-1.49828183040396","0.134060042726042",0.346594256803913
"X217.1223_6.07","-379.616227196759","-7.49033447286418e-05","3.57553333023484e-05","-2.09488593198828","0.0361811337225639",0.179768972039679
"X504.3424_7.11","-495.138015247601","-2.61675679924233e-06","2.08513958296458e-05","-0.125495521768471","0.90013127012359",0.924105710732209
"X87.0445_0.46","-283.447219158692","-0.000486365726387277","0.000348250904765208","-1.39659572949333","0.162535175226301",0.375296410974009
"X550.3871_7.77","-707.23532154147","0.000269407948868498","0.000225334072984612","1.19559348171413","0.231855236379915",0.453025899654765
"X277.2159_6.06","-139.640361167786","-5.76049926252643e-06","0.000115835072779288","-0.0497301820969412","0.960337404373798",0.965774906383781
"X118.0613_0.3","-242.632138002674","-7.82034591567543e-05","0.000136262685767651","-0.573916907010797","0.566024031521475",0.728279909227635
"X190.0863_4.18","-794.604255469705","-3.00676893849113e-05","5.46632037001208e-05","-0.550053552474914","0.582282643133254",0.734149800954344
"X353.2312_5.31","-417.933879795149","-4.87157250640703e-06","2.76146035419539e-05","-0.176412907721301","0.859969564799051",0.902385877041715
"X616.1758_5.87","-424.827075018688","-0.00232987956702471","0.00262848282228641","-0.886397106068223","0.375403578106763",0.583044385044936
"X101.0601_3.25","-533.071699826043","0.00150574918411136","0.000488687960239913","3.08120785986242","0.00206162673455498",0.0663768034106998
"X402.1755_0.48","-38.331037711758","0.359952192119025","0.619933702052593","0.580630139847581","0.56148975443293",0.728279909227635
"X401.3411_9","-381.01539386055","0.00283186520434646","0.00322935697718681","0.876913027686824","0.380533879543506",0.588855346446885
"X137.0458_0.52","-483.840159180951","0.00202139804429132","0.0011372295501737","1.77747583500848","0.0754899832809363",0.254164945887639
"X158.1176_0.39","-824.658895892112","0.000748560745637772","0.000618840015950024","1.20961916867739","0.226425059271952",0.452850118543904
"X820.8678_3.17","-805.75069201171","0.000505556710254394","0.000587432426454011","0.860621047609078","0.38944678982567",0.593352406075572
"X153.0407_0.46","-574.74339335088","-0.00178498688294999","0.00128438120138514","-1.38976409887109","0.164600523214914",0.377246604557425
"X139.0502_0.4","-517.90805804627","0.00134916087061697","0.00127845048650816","1.05530944284119","0.291283823814232",0.506032685655561
"X148.0038_0.29","-743.420431367643","0.000745661848617951","0.00071379351278126","1.04464643523099","0.296186409785859",0.509488110391048
"X169.9858_0.28","-858.907319404796","0.000773673297720634","0.00039182914324591","1.97451698286536","0.0483229883055628",0.200463283642943
"X385.3462_9.43","-653.151341664581","0.00054939093231087","0.000595039694057562","0.923284509919979","0.355858958058319",0.56937433289331
"X258.8991_0.25","-837.786856633235","0.000433418947511661","0.00020586525140539","2.10535262533535","0.035260624375489",0.179768972039679
"X365.105_0.3","-352.843694745422","0.000705147687308001","0.00351601281535133","0.200553218756554","0.841047940772939",0.895990771074689
"X154.0586_0.29","-919.131571738847","0.000137929016336834","0.000212705405492519","0.648450922144927","0.516693343802453",0.69328473978557
"X367.3356_8.79","-593.072110972939","0.000263035816370585","0.000596535930770213","0.440938764628927","0.659257328987097",0.778003180943198
"X133.0318_0.39","-757.719618939558","-8.22437123135327e-05","0.000374295883840754","-0.219729139069356","0.826082109515293",0.882264016207769
"X550.3141_5.29","-623.838610432467","-0.000189021792955188","0.000210473649236744","-0.898078185277118","0.369143868151491",0.578496773838596
"X385.3462_8.79","-620.957959712788","-5.63288467095577e-05","0.000303156105466582","-0.185808056291207","0.852595286547463",0.901497260588839
"X215.0162_0.4","-623.413302894563","-0.00138462568102258","0.000680380459131279","-2.03507561459142","0.0418432652226879",0.187648906130722
"X122.9247_0.25","-807.041241877344","0.000273087477299873","0.000189836402166204","1.43854115535113","0.150280568977338",0.365090822441563
"X307.083_0.41","-109.290328779601","-0.00287378079970778","0.00202752248391558","-1.4173854161942","0.156370274186466",0.368338868083675
"X311.2213_6.41","-537.601712058557","-0.000314233802763964","0.000214316168860031","-1.46621603230127","0.142589442249485",0.357514129692537
"X335.2189_6","-643.716860578671","-0.000127063897412002","0.000205630299566411","-0.617924000888619","0.536625437151769",0.708813661533801
"X220.1178_0.74","-689.501856119935","-0.00131679367589608","0.000483943184815907","-2.72096749620928","0.00650911613745081",0.0893718341688848
"X293.2108_6.38","-539.304841534086","-0.000202367718211797","0.000152018379670751","-1.33120559928408","0.18312136952145",0.400214656652809
